"Time (UTCG)","Area (m^2)"
26 Apr 2019 19:00:00.000,24.341599
26 Apr 2019 19:05:00.000,25.257418
26 Apr 2019 19:10:00.000,25.944901
26 Apr 2019 19:15:00.000,25.966559
26 Apr 2019 19:20:00.000,25.710996
26 Apr 2019 19:25:00.000,25.435632
26 Apr 2019 19:30:00.000,25.683150
26 Apr 2019 19:35:00.000,25.710377
26 Apr 2019 19:40:00.000,25.419543
26 Apr 2019 19:45:00.000,24.829830
26 Apr 2019 19:50:00.000,24.817454
26 Apr 2019 19:55:00.000,25.598375
26 Apr 2019 20:00:00.000,26.010494
26 Apr 2019 20:05:00.000,25.863220
26 Apr 2019 20:10:00.000,25.508031
26 Apr 2019 20:15:00.000,25.693670
26 Apr 2019 20:20:00.000,25.754312
26 Apr 2019 20:25:00.000,25.611989
26 Apr 2019 20:30:00.000,25.174500
26 Apr 2019 20:35:00.000,24.577361
26 Apr 2019 20:40:00.000,25.329199
26 Apr 2019 20:45:00.000,26.001212
26 Apr 2019 20:50:00.000,25.991930
26 Apr 2019 20:55:00.000,25.677581
26 Apr 2019 21:00:00.000,25.482042
26 Apr 2019 21:05:00.000,25.735748
26 Apr 2019 21:10:00.000,25.722753
26 Apr 2019 21:15:00.000,25.421399
26 Apr 2019 21:20:00.000,24.793940
26 Apr 2019 21:25:00.000,24.900373
26 Apr 2019 21:30:00.000,25.688101
26 Apr 2019 21:35:00.000,26.030914
26 Apr 2019 21:40:00.000,25.881165
26 Apr 2019 21:45:00.000,25.474616
26 Apr 2019 21:50:00.000,25.729560
26 Apr 2019 21:55:00.000,25.774113
26 Apr 2019 22:00:00.000,25.629315
26 Apr 2019 22:05:00.000,25.139847
26 Apr 2019 22:10:00.000,24.655329
26 Apr 2019 22:15:00.000,25.408405
26 Apr 2019 22:20:00.000,26.036483
26 Apr 2019 22:25:00.000,25.965940
26 Apr 2019 22:30:00.000,25.675106
26 Apr 2019 22:35:00.000,25.544540
26 Apr 2019 22:40:00.000,25.758644
26 Apr 2019 22:45:00.000,25.696145
26 Apr 2019 22:50:00.000,25.397885
26 Apr 2019 22:55:00.000,24.759287
26 Apr 2019 23:00:00.000,24.985767
26 Apr 2019 23:05:00.000,25.795153
26 Apr 2019 23:10:00.000,26.049478
26 Apr 2019 23:15:00.000,25.874977
26 Apr 2019 23:20:00.000,25.441820
26 Apr 2019 23:25:00.000,25.764213
26 Apr 2019 23:30:00.000,25.798865
