                                                                                                    26 Apr 2019 09:08:15
FOR UNFUNDED EDUCATIONAL USE ONLY
Sensor-Sensor1


       Time (UTCG)          Percent Obscured    Percent Unobscured    Relative Obscured Area    Relative Unobscured Area
------------------------    ----------------    ------------------    ----------------------    ------------------------
26 Apr 2019 19:00:00.000            3.798295             96.201705               3621.749556                91730.243845
26 Apr 2019 19:05:00.000            4.167384             95.832616               3973.683603                91378.309798
26 Apr 2019 19:10:00.000            4.157293             95.842707               3964.062171                91387.931230
26 Apr 2019 19:15:00.000            4.041443             95.958557               3853.596734                91498.396667
26 Apr 2019 19:20:00.000            3.547122             96.452878               3382.251449                91969.741952
26 Apr 2019 19:25:00.000            2.581379             97.418621               2461.396743                92890.596658
26 Apr 2019 19:30:00.000            1.702853             98.297147               1623.704443                93728.288958
26 Apr 2019 19:35:00.000            1.706234             98.293766               1626.927993                93725.065408
26 Apr 2019 19:40:00.000            2.574575             97.425425               2454.908370                92897.085031
26 Apr 2019 19:45:00.000            3.430095             96.569905               3270.664425                92081.328977
26 Apr 2019 19:50:00.000            4.048641             95.951359               3860.460228                91491.533173
26 Apr 2019 19:55:00.000            4.164604             95.835396               3971.032511                91380.960890
26 Apr 2019 20:00:00.000            4.174610             95.825390               3980.573926                91371.419475
26 Apr 2019 20:05:00.000            3.807551             96.192449               3630.576218                91721.417183
26 Apr 2019 20:10:00.000            3.070486             96.929514               2927.769737                92424.223664
26 Apr 2019 20:15:00.000            2.200754             97.799246               2098.462767                93253.530634
26 Apr 2019 20:20:00.000            1.213686             98.786314               1157.273925                94194.719476
26 Apr 2019 20:25:00.000            2.195323             97.804677               2093.284608                93258.708793
26 Apr 2019 20:30:00.000            3.055436             96.944564               2913.418981                92438.574420
26 Apr 2019 20:35:00.000            3.790307             96.209693               3614.133333                91737.860068
26 Apr 2019 20:40:00.000            4.165350             95.834650               3971.744065                91380.249336
26 Apr 2019 20:45:00.000            4.157212             95.842788               3963.984124                91388.009277
26 Apr 2019 20:50:00.000            4.048845             95.951155               3860.654845                91491.338556
26 Apr 2019 20:55:00.000            3.302411             96.697589               3148.914881                92203.078520
26 Apr 2019 21:00:00.000            2.582839             97.417161               2462.788538                92889.204863
26 Apr 2019 21:05:00.000            1.584307             98.415693               1510.668233                93841.325168
26 Apr 2019 21:10:00.000            1.708603             98.291397               1629.187233                93722.806168
26 Apr 2019 21:15:00.000            2.697365             97.302635               2571.991300                92780.002101
26 Apr 2019 21:20:00.000            3.544640             96.455360               3379.884765                91972.108636
26 Apr 2019 21:25:00.000            4.048599             95.951401               3860.419883                91491.573518
26 Apr 2019 21:30:00.000            4.164635             95.835365               3971.062612                91380.930789
26 Apr 2019 21:35:00.000            4.174492             95.825508               3980.460884                91371.532517
26 Apr 2019 21:40:00.000            3.681307             96.318693               3510.199340                91841.794061
26 Apr 2019 21:45:00.000            3.072568             96.927432               2929.755115                92422.238286
26 Apr 2019 21:50:00.000            2.088136             97.911864               1991.079473                93360.913928
26 Apr 2019 21:55:00.000            1.204120             98.795880               1148.152048                94203.841353
26 Apr 2019 22:00:00.000            2.329989             97.670011               2221.691366                93130.302035
26 Apr 2019 22:05:00.000            3.059281             96.940719               2917.085588                92434.907813
26 Apr 2019 22:10:00.000            3.800523             96.199477               3623.874539                91728.118862
26 Apr 2019 22:15:00.000            4.165465             95.834535               3971.854126                91380.139275
26 Apr 2019 22:20:00.000            4.163243             95.836757               3969.734800                91382.258601
26 Apr 2019 22:25:00.000            4.042945             95.957055               3855.028820                91496.964581
